nID;sID;sName;sNote
2500020;RightModuleTemplate_ReadSelfRight;Використання модулю Шаблони;Використання модулю Шаблони, відповідно своїх прав, точково (будь який не звільнених користувач)
2500030;RightModuleStaff_ReadSelfRight;Використання модулю Персонал;Використання модулю Персонал, відповідно своїх прав, точково (будь який не звільнених користувач)
2500040;RightModuleSystemRight_ReadSelfRight;Використання модулю системи Права;Використання модулю системи Права, відповідно своїх прав, точково (супер-адміністратор)
2500050;RightModuleSystemEscalation_ReadSelfRight;Використання модулю системи Ескалації;Використання модулю системи Ескалації, відповідно своїх прав, точково (адміністратор)
2500060;RightModuleSystemFlow_ReadSelfRight;Використання модулю системи Електрона черга;Використання модулю системи Електрона черга, відповідно своїх прав, точково (адміністратор)
2500070;RightModuleSystemSuperadmin_ReadSelfRight;Використання модулю системи Суперадмін;Використання модулю системи Суперадмін, відповідно своїх прав, точково (супер-адміністратор)
2500080;RightModuleSystemCounters_ReadSelfRight;Використання модулю корегування лічильників;Використання модулю системи корегування лічильників, точково (адміністратор)
2500090;RightModuleSystemProperties_ReadSelfRight;Використання модулю системи корегування Властивостей;Використання модулю корегування Динамічних Властивостей, відповідно своїх прав, точково (адміністратор)
2500095;RightModuleSystemHelpDeskStatistic_ReadSelfRight;Використання модулю статистики Хелпдеска;Використання модулю статистики Хелпдеска, точково (супер-адміністратор)
2500097;RightModuleSystemHolding_ReadSelfRight;Використання функцій холдінгу;Використання функцій холдінгу, точково (супер-адміністратор)
2500100;RightModules_ManageAll;Управліня всіми модулями;Управліня всіми модулями, масово-все (супер-адміністратор)
2500200;RightEntityPoolsData_ManageSelected;Управління даними обраних пулів сутностей;Управління даними обраних пулів сутностей, масово (користувацька роль)
2501000;RightServicesTech_ManageAll;Управліня всіми технічними сервісами;Управліня всіми технічними сервісами, для дебаг та тест режиму, масово (супер-адміністратор)
2502000;RightProcessInstancesField_EditAny;Редагування будь-яких полів будь-яких екземплярів документів/завдань;Редагування будь-яких полів будь-яких екземплярів документів/завдань (супер-адміністратор)
2503000;RightProcessDocumentInstancesMetadata_ReadAll;Перезляд переліку(із метаданими/полями) всіх екземплярів документів;Перегляд переліку усіх документів, їх історії, у т.ч. видалених та архівних та у яких не є фігурантом, масово-все (адміністратор)
2503100;RightProcessTaskInstancesMetadata_ReadAll;Перезляд переліку(із метаданими/полями) всіх екземплярів завдань;Перегляд переліку усіх завдань, їх історії, у т.ч. видалених та архівних та у яких не є фігурантом, масово-все (адміністратор)
2503200;RightProcessDocumentFilterPublic_ManageAny;Перезляд переліку(із метаданими/полями) всіх екземплярів документів;Перегляд переліку усіх документів, їх історії, у т.ч. видалених та архівних та у яких не є фігурантом, масово-все (адміністратор)
2503201;RightProcessDocumentInstance_ChangeSingerSelectedBP;Управління підписантами не учатниками документу в обраних бізнес-процесів (шаблонів);Управління підписантами не учатниками документу в обраних бізнес-процесів (будь який користувач)
2503202;RightModulePublicationAdmin_ManageAny;Администрирование публикаций;Администрирование публикаций
2503203;RightProcessInstances_RemoveAny;Видалення будь-яких документів;Видалення будь-яких документів
2503204;RightModuleTableCustom_ManageAny;Администрирование кастомных справочников;Администрирование кастомных справочников


