nID;sID;sName;sNote
1;bNeedECP;Потрібен підпис ЄЦП;Включено обязательность ЭЦП
2;bEnableUniqSignerLast;Виключне право бути останнім підписантом;Включена уникальность подписанта последнего
3;nDaysDeadlineSign;Кількість днів на підпис;Кількість днів на підпис
4;bSkipStepCreate;Пропустити крок створення;Пропустити крок створення
5;sasKey_Field_RKK;Поля для картки РКК;Поля для картки РКК
6;sasID_BP_Derivative;Перелік похідних процесів;Перелік похідних процесів
