nID;sID_RightItem;sID_RightGroupItem;sKey;nID_RightItemPropertyType
1;RightProcessDocumentInstance_AddSelectedBP;EmployeeBPgroup1;_task_base;1
2;RightProcessDocumentInstance_AddSelectedBP;EmployeeBPgroup1;_doc_template_sz;1
